anio,cantidades_exportacion_ferreres,cantidades_exportacion_indec,n,acumulado,exportaciones_norm,acumulado_norm,Entity,Code,world_trade_relative_1913,exportaciones_mund_norm
1810,0.0193818140785088,NA,NA,NA,1.5068465755886337e-4,NA,World,OWID_WRL,2.522552756,5.118140351183316e-4
1811,0.0243618245441735,NA,NA,NA,1.8940194009075607e-4,NA,World,OWID_WRL,2.159217293,4.380949864374654e-4
1812,0.010766870672322,NA,NA,NA,8.370744934749854e-5,NA,World,OWID_WRL,2.115038114,4.291312397652015e-4
1813,0.0137301494494932,NA,NA,NA,1.0674557395135627e-4,NA,World,OWID_WRL,2.174440647,4.411837330336435e-4
1814,0.018323915400348,NA,NA,NA,1.4245998367617494e-4,NA,World,OWID_WRL,2.267282011,4.60020807113346e-4
1815,0.0324911309278311,NA,NA,NA,2.5260354462842445e-4,NA,World,OWID_WRL,2.930514119,5.945874680516028e-4
1816,0.0314797913290354,NA,NA,NA,2.4474084609551333e-4,NA,World,OWID_WRL,3.017644347,6.122657796220508e-4
1817,0.0435999076686258,NA,NA,NA,3.389691558299382e-4,NA,World,OWID_WRL,3.263395663,6.621275604622847e-4
1818,0.0349135802590546,NA,NA,NA,2.7143696994405905e-4,NA,World,OWID_WRL,3.065482067,6.219718269765905e-4
1819,0.0304633871234389,NA,NA,NA,2.3683877258261535e-4,NA,World,OWID_WRL,2.825089808,5.731973734800862e-4
1820,0.0354907065464652,NA,NA,NA,2.7592386041955453e-4,NA,World,OWID_WRL,3.357307712,6.811818714694954e-4
1821,0.0333788284692368,NA,NA,NA,2.595049832399363e-4,NA,World,OWID_WRL,3.381799261,6.86151091038907e-4
1822,0.0445766494746926,NA,NA,NA,3.4656287249518056e-4,NA,World,OWID_WRL,3.547340355,7.197385968290309e-4
1823,0.049928710382826,NA,NA,NA,3.881726754738659e-4,NA,World,OWID_WRL,3.703233469,7.513685730639074e-4
1824,0.0527256466425442,NA,NA,NA,4.099175637904311e-4,NA,World,OWID_WRL,4.131801337,8.38322968495842e-4
1825,0.0522847113442336,NA,NA,NA,4.0648949538762757e-4,NA,World,OWID_WRL,3.967434586,8.049737313516416e-4
1826,0.0327432277081608,NA,NA,NA,2.5456348072428224e-4,NA,World,OWID_WRL,4.430823885,8.98993230602045e-4
1827,0.00379776892805539,NA,NA,NA,2.9525900315299434e-5,NA,World,OWID_WRL,4.586846102,9.306494012256092e-4
1828,0.017184119736449,NA,NA,NA,1.3359859853410302e-4,NA,World,OWID_WRL,4.827779502,9.7953364967412e-4
1829,0.0687201033701089,NA,NA,NA,5.34267081594627e-4,NA,World,OWID_WRL,4.9666227,0.0010077042785135324
1830,0.0681046546505426,NA,NA,NA,5.294822518992623e-4,NA,World,OWID_WRL,5.152685622,0.001045455566239119
1831,0.0690053113133226,NA,NA,NA,5.364844416973574e-4,NA,World,OWID_WRL,5.072184043,0.0010291221762303722
1832,0.067556187539931,NA,NA,NA,5.252181732939243e-4,NA,World,OWID_WRL,5.267371644,0.001068724818210906
1833,0.0673098189427698,NA,NA,NA,5.233027711779965e-4,NA,World,OWID_WRL,5.489606174,0.0011138151542886686
1834,0.0704962701563661,NA,NA,NA,5.480759584557131e-4,NA,World,OWID_WRL,5.757384955,0.001168146203697523
1835,0.0803042223511012,NA,NA,NA,6.243282592894165e-4,NA,World,OWID_WRL,5.873858065,0.0011917780473805104
1836,0.0797661758559832,NA,NA,NA,6.201451961592474e-4,NA,World,OWID_WRL,6.261173298,0.0012703624780898465
1837,0.0823126578418997,NA,NA,NA,6.399429181100074e-4,NA,World,OWID_WRL,6.108251403,0.0012393353481510458
1838,0.0751173889476798,NA,NA,NA,5.840030238886671e-4,NA,World,OWID_WRL,6.503422447,0.0013195136857935368
1839,0.0601888833143324,NA,NA,NA,4.679407837848972e-4,NA,World,OWID_WRL,6.468313742,0.001312390295437839
1840,0.0393267821388776,NA,NA,NA,3.0574757736736717e-4,NA,World,OWID_WRL,7.074869422,0.0014354575769312942
1841,0.0943349554589159,NA,NA,NA,7.334107324308331e-4,NA,World,OWID_WRL,7.13085229,0.00144681623632917
1842,0.135136026777939,NA,NA,NA,0.0010506202276224607,NA,World,OWID_WRL,7.038598453,0.0014280983687016994
1843,0.165562089528183,NA,NA,NA,0.0012871688204329095,NA,World,OWID_WRL,7.445915689,0.0015107411113101739
1844,0.124380528765905,NA,NA,NA,9.670011954589309e-4,NA,World,OWID_WRL,8.363319335,0.0016968779763468747
1845,0.117022162185056,NA,NA,NA,9.097932920120971e-4,NA,World,OWID_WRL,8.763817587,0.0017781371793214817
1846,0.037650608703018,NA,NA,NA,2.9271610264737025e-4,NA,World,OWID_WRL,8.946847121,0.0018152730069546414
1847,0.093456069232711,NA,NA,NA,7.26577797727588e-4,NA,World,OWID_WRL,9.05064155,0.0018363324061695585
1848,0.154189418479049,NA,NA,NA,0.0011987515528011582,NA,World,OWID_WRL,8.700229346,0.0017652354256773306
1849,0.288012619663531,NA,NA,NA,0.002239165167452136,NA,World,OWID_WRL,9.933625156,0.002015485607725116
1850,0.212905227784923,NA,NA,NA,0.001655239866160723,NA,World,OWID_WRL,10.14390364,0.002058150118561854
1851,0.226757920283442,NA,NA,NA,0.0017629381557507638,NA,World,OWID_WRL,10.74941445,0.002181005400869325
1852,0.187863822114524,NA,NA,NA,0.0014605544965171932,NA,World,OWID_WRL,12.02972325,0.002440774006924004
1853,0.0928195972276474,NA,NA,NA,7.216295216921081e-4,NA,World,OWID_WRL,13.09038399,0.0026559770594428373
1854,0.171879370159165,NA,NA,NA,0.0013362827611985617,NA,World,OWID_WRL,12.51395781,0.002539022911137348
