SpecimenCode	Subfamily	Genus	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm1	Adm2	Country	Elevation	ElevationMaxError	LocLatitude	LocLongitude	LatLonMaxError	Bioregion	LocalityNotes	LocalityCode	Created	uploadId
amsat-94816	dolichoderinae	linepithema	humile	1				AMSA	AMSA				tc1912584530	Wilkinsons							William Station, Mascot	New South Wales		Australia						Australasia			2022-10-19 06:46:50.0	1178	
amsat-94819	dolichoderinae	linepithema	humile	1				AMSA	AMSA				tc1912584534	<collector unknown>							Rosebank			South Africa						Afrotropical			2022-10-19 06:46:50.0	1178	
anic32-001591	dolichoderinae	linepithema	humile	12	PINNED			ANIC	ANIC				tc1912612327	K.W.	1989-05-31						Glen Osmond (Waite Inst.)	South Australia		Australia			-36.0333	140.75	10km	Australasia		loc-36.0333,140.75	2022-10-19 06:47:18.0	1178	
anic32-001592	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612335	Andersen,A.N.	1980-12-31			mallee, post fire	pitfall trap		15km WNW Yaapeet	Victoria		Australia			-35.7	141.867	10km	Australasia		loc-35.7,141.867	2022-10-19 06:47:18.0	1178	
anic32-001593	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612339	Madge,D.A.F.	1979-01-08						Glenelg, 12 Gordon Str.	South Australia		Australia			-34.9667	138.533		Australasia		loc-34.9667,138.533	2022-10-19 06:47:18.0	1178	
anic32-001594	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581229	Archer	1950-04-27						Auburn	New South Wales		Australia			-33.85	151.033	10km	Australasia		loc-33.85,151.033	2022-10-19 06:46:47.0	1178	
anic32-001595	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612342	<collector unknown>	1972-02-03						Launceston airport	Tasmania		Australia			-41.55	147.2		Australasia		loc-41.55,147.2	2022-10-19 06:47:18.0	1178	
anic32-001598	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581250	Miller,L.W.	1951-07-06						Hobart (general)	Tasmania		Australia			-42.8833	147.317	10km	Australasia		loc-42.8833,147.317	2022-10-19 06:46:47.0	1178	
anic32-001599	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581214	<collector unknown>	1953-02-10						Sydney, No. 1 Argyle Place	New South Wales		Australia			-33.8667	151.217		Australasia		loc-33.8667,151.217	2022-10-19 06:46:47.0	1178	
anic32-001600	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581234	Greaves,T.	1950-07-08						Mascot, old tip site	New South Wales		Australia			-33.9333	151.2		Australasia		loc-33.9333,151.2	2022-10-19 06:46:47.0	1178	
anic32-001601	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612351	E.H.T.							Mascot, Coward Str.	New South Wales		Australia			-33.9333	151.2		Australasia		loc-33.9333,151.2	2022-10-19 06:47:18.0	1178	
anic32-001602	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581238	<collector unknown>	1953-01-06						Maroubra, 97 Garden St.	New South Wales		Australia			-33.95	151.267		Australasia		loc-33.95,151.267	2022-10-19 06:46:47.0	1178	
anic32-001603	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581241	<collector unknown>	1952-04-24						Alexandria [Alexandra]	Victoria		Australia			-37.2	145.717		Australasia		loc-37.2,145.717	2022-10-19 06:46:47.0	1178	
anic32-001604	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581243	<collector unknown>	1952-12-02						Strathfield	New South Wales		Australia			-33.8833	151.067	10km	Australasia		loc-33.8833,151.067	2022-10-19 06:46:47.0	1178	
anic32-001605	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581232	McInnes,R.S.	1951-06-25						Lidcombe	New South Wales		Australia			-33.8667	151.05	10km	Australasia		loc-33.8667,151.05	2022-10-19 06:46:47.0	1178	
anic32-001606	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612382	McAreavey,J.	1954-11-30						Echuca	Victoria		Australia			-36.1333	144.75	10km	Australasia		loc-36.1333,144.75	2022-10-19 06:47:18.0	1178	
anic32-001607	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581248	C.M.	1950-03-03						Malvern	Victoria		Australia			-37.8667	145.033	10km	Australasia		loc-37.8667,145.033	2022-10-19 06:46:47.0	1178	
anic32-001608	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612397	McAreavey,J.	1944-12-31						Aireys Inlet	Victoria		Australia			-38.4667	144.1	10km	Australasia		loc-38.4667,144.1	2022-10-19 06:47:18.0	1178	
anic32-001609	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612407	Midgley,C.A.	1976-03-19						Whitemark, Flinders Island	Tasmania		Australia			-40.1167	148.017		Australasia		loc-40.1167,148.017	2022-10-19 06:47:18.0	1178	
anic32-001610	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612421	<collector unknown>	1971-08-12						Eaglemont	Victoria		Australia			-37.7667	145.05		Australasia		loc-37.7667,145.05	2022-10-19 06:47:18.0	1178	
anic32-001611	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612424	<collector unknown>	1957-02-25						Carlingford, 15 Hepburn Ave.	New South Wales		Australia			-33.7833	151.05		Australasia		loc-33.7833,151.05	2022-10-19 06:47:18.0	1178	
anic32-001613	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612432	Greaves,T.	1950-12-06			on suburban footpath			Lidcombe, Sydney	New South Wales		Australia			-33.8667	151.05		Australasia		loc-33.8667,151.05	2022-10-19 06:47:18.0	1178	
anic32-001615	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581218	Jenkins,C.T.N.	1941-04-04						Perth (general)	Western Australia		Australia			-31.95	115.85	10km	Australasia		loc-31.95,115.85	2022-10-19 06:46:47.0	1178	
anic32-001616	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912581224	Craig,R.	1952-09-02			in orchard			Kelmscott	Western Australia		Australia			-32.1167	116.017	10km	Australasia		loc-32.1167,116.017	2022-10-19 06:46:47.0	1178	
anic32-001617	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612446	Lowery,B.B.	1969-12-19						Denmark (general)	Western Australia		Australia			-34.9667	117.35	10km	Australasia		loc-34.9667,117.35	2022-10-19 06:47:18.0	1178	
anic32-001618	dolichoderinae	linepithema	humile	1	PINNED			ANIC	ANIC				tc1912612474	Weatherill,L.	1962-01-12						Botanic Gardens, Melbourne	Victoria		Australia			-37.8167	144.967	10km	Australasia		loc-37.8167,144.967	2022-10-19 06:47:18.0	1178	
anic32-001619	dolichoderinae	linepithema	humile	3	Pinned and Spirit			ANIC	ANIC				tc1912612503	Wood,K.A.	1992-02-29				foraging on Eucalyptus		Wollongong	New South Wales		Australia			-34.4333	150.883	10km	Australasia		loc-34.4333,150.883	2022-10-19 06:47:18.0	1178	
anic32-001680	dolichoderinae	linepithema	humile	5	Carded/pointed			ANIC	ANIC				S782/784	Bourke	1953-03-04						Waterloo	unknown_Australia		Australia						Australasia			2022-10-19 06:48:33.0	1178	
anic32-006693	dolichoderinae	linepithema	humile	3	Pinned and Spirit			ANIC	ANIC				tc1912617722	<collector unknown>	1977-12-13			Ex. Eulinger Ave. in town			Mildura	Victoria		Australia			-34.1833	142.167	10km	Australasia		loc-34.1833,142.167	2022-10-19 06:47:24.0	1178	
anic32-015301	dolichoderinae	linepithema	humile	6	Pinned			ANIC	ANIC				tc1912633391	French,J.	1974-05-31				ex. lab		Morrabin	Victoria		Australia						Australasia			2022-10-19 06:47:39.0	1178	
anic32-029173	dolichoderinae	linepithema	humile	3	Carded/pointed			ANIC	ANIC		S.Shattuck		SOSC4524	Shattuck,S.O.	2005-10-05			urban parkland	noctural foragers on Eucalyptus		N Adelaide	South Australia		Australia			-34.9333	138.6	10km	Australasia		loc-34.9333,138.6	2022-10-19 06:48:06.0	1178	
anic32-030483	dolichoderinae	linepithema	humile	3	Carded/pointed			ANIC	ANIC		S.Shattuck		tc1912663835	Anderson,P.	2004-10-31			ex garden & house			Mission Road	Norfolk Island		Australia			-29.0333	167.95	10km	Australasia		loc-29.0333,167.95	2022-10-19 06:48:10.0	1178	
anic32-030484	dolichoderinae	linepithema	humile	3	Carded/pointed			ANIC	ANIC		S.Shattuck		tc1912663840	Anderson,K.	2005-07-04			ex garden & house			Mission Road	Norfolk Island		Australia			-29.0333	167.95	10km	Australasia		loc-29.0333,167.95	2022-10-19 06:48:10.0	1178	
anic32-051744	dolichoderinae	linepithema	humile	3	Carded/pointed			ANIC	ANIC				1C	<collector unknown>	2008-03-26			Bananas S of shed			Waste Site	Norfolk Island		Australia			-29.0333	167.95	10km	Australasia		loc-29.0333,167.95	2022-10-19 06:48:58.0	1178	
anict-115414	dolichoderinae	linepithema	humile	1	SPIRIT			ANIC	ANIC				tc1912613026	Lowery,B.B.	1994-11-22			dry sclerophyll	under rock, a seathing mass of fast-moving ants		Taroona, Alum Cliffs Walk	Tasmania		Australia			-42.95	147.333		Australasia		loc-42.95,147.333	2022-10-19 06:47:19.0	1178	
