Especie	Nombre_comun	HabitatVerbatim	CosteTotalUSD_2017_tipo_cambio	CosteAnualUSD_2017_tipo_cambio	Impacted_sector	Type_of_cost	Type_of_cost_merged	Management_type	Reference_title	Authors	Abstract
Acromyrmex octospinosus	Hormiga cortadora de hojas		3245315.55	811328.89	Agriculture	Control	Management	Post-invasion_management	Fourmi manioc: nouvelle méthode de lutte biologique	France Info	La fourmi manioc, Acromyrmex octospinosus, auteure de ravages sur de nombreuses plantes, ne pourra bientôt plus nuire. Ceci, grace à une nouvelle méthode de lutte biologique élaborée par une équipe de chercheurs de l'université Paris-Est Créteil, dont le docteur entomologiste Léonide Célini.
Acromyrmex octospinosus	Hormiga cortadora de hojas		214791.46	35798.58	Agriculture	Control	Management	Post-invasion_management	Etude sur les depenses engagees dans la lutte contre les especes exotiques envahissantes de 2009-2014.  Combien coute l introduction despeces exotiques en Guadeloupe?	Asconit Consultants - DEAL Guadeloupe	C’est pour démarrer cette réflexion que la DEAL Guadeloupe a lancé une première enquête, confiée à ASCONIT Consultants, auprès d’une cinquantaine d’opérateurs publics et privés, qui recense de 2009 à 2014 : * les dépenses effectuées pour lutter contre les espèces exotiques déjà introduites en Guadeloupe (rats, mangoustes…), * les dépenses engagées pour remédier aux dommages qu’elles ont générés.
Acromyrmex octospinosus	Hormiga cortadora de hojas		98760.17	98760.17	Authorities-Stakeholders	Research	Management	Knowledge funding	Response by email to the request for information by David Renault for the InvaCost project	Aude Kubik	
Acromyrmex octospinosus	Hormiga cortadora de hojas	different types of cultures	9337313.71	9337313.71	Agriculture	Damage-loss	Damage	NA	Impact de la fourmi manioc sur les exploitations guadeloupéennes	Soleo Ecosolutions	Ce rapport constitue une synthèse des données recueillies lors d’une enquête épidémiologique conduite auprès d’agriculteurs guadeloupéens. L’enquête a été réalisée entre le 27 juillet et le 30 août 2020 à partir des bases de contacts de la FREDON Guadeloupe. Financés par SoleO Ecosolutions, les appels ont été menés par des personnels qualifiés au sein de la FREDON et en partenariat avec le Centre Technique de la Canne à Sucre. L’échantillon des agriculteurs contactés a été constitué aléatoirement. 574 exploitants ont participé à l’enquête permettant aux résultats d’être statistiquement fiables et extrapolables à l’ensemble du territoire. Ces données permettent ainsi de quantifier l’impact de la fourmi manioc sur l’agriculture guadeloupéenne, dans la perspective du lancement d’un plan de lutte coordonné contre ce ravageur.
Anoplolepis gracilipes	Hormiga loca amarilla		648126.25	648126.25	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Ecological and socioeconomic impacts of invasive alien species in island ecosystems	Reaser et al	
Anoplolepis gracilipes	Hormiga loca amarilla		103700.20	103700.20	Authorities-Stakeholders	Funding	Management	Knowledge funding	Queensland Government Submission. Senate Environment, Communications, Information Technology and Arts References Committee. Invasive Species Inquiry	Queensland Government	
Anoplolepis gracilipes	Hormiga loca amarilla		213449.58	213449.58	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Ecological and Socio-Economic Impacts of Invasive Alien Species on Island Ecosystems: Report of an Experts Consultation	Meyerson and Reaser	
Anoplolepis gracilipes	Hormiga loca amarilla		41923.74	41923.74	Authorities-Stakeholders	Control/Eradication	Management	Post-invasion_management	Analyse économique des espèces exotiques envahissantes en France, Première enquête nationale (2009-2013)	Annelaure Wittmann, Aheli FLores-Ferrer	
Anoplolepis gracilipes	Hormiga loca amarilla	Unspecified	36624.87	7324.97	Authorities-Stakeholders	Control	Management	Post-invasion_management	Global eradication and response database	Kean JM et al 	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	14807.67	14807.67	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
